bCAaxis1,bCAaxis2,bCAaxis3,site,season,z.connect,connect,z.between,between.temperature
-0.421776084386664,3.07533932972399,-1.03887637629902,BEAR,spring,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-1.50002609625637,9.1919190871566,-3.38403692157722,BEAR,spring,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-1.01621199802632,2.46413309978783,-0.121602401250858,BEAR,spring,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-0.353000590573368,6.7116810479112,-1.42857693555742,BEAR,summer,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-0.463627673962917,8.07930112258478,-1.319725411469,BEAR,summer,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-1.66925976199964,11.0348184033529,-1.78642023793644,BEAR,summer,-0.542827587625151,0.1971068732,-0.320475658670747,15.873375
-1.63740144296152,0.405073516518552,7.33201548133266,GRAN,spring,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
-1.42857412373028,0.411217117302348,4.16674842835727,GRAN,spring,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
-0.574420230553424,0.354609235651645,5.36224176032777,GRAN,spring,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
-1.37554839696969,0.317299505119849,2.82858811218436,GRAN,summer,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
-0.947525775500867,0.337040143049891,2.45975573995484,GRAN,summer,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
-0.337808011119356,0.83626654353875,4.02375750427446,GRAN,summer,1.78567714439402,0.773218378,-0.538355581727362,15.3444208333333
6.37057211594955,-0.772884567491268,-0.642840524428233,MOIR,spring,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
3.54945785837107,-1.52403311196287,0.798583192212724,MOIR,spring,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
8.76223652267413,-1.55527014585535,0.436699064061775,MOIR,spring,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
8.61078726467286,-1.30654052396472,-0.444447387059814,MOIR,summer,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
6.29119560952028,0.319969430394617,-1.0740055444103,MOIR,summer,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
11.0443831242164,0.0220028054185711,-2.02696895393454,MOIR,summer,0.690824959799041,0.5023334058,-1.71649541096756,12.4842125
-1.09800408679913,-1.84747595633928,-3.66492884587324,MORT,spring,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-3.03445499681603,-3.4625169953424,-4.39576279701487,MORT,spring,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-2.10946282027719,-2.85045554545192,-2.96764571434087,MORT,spring,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-1.2721577192874,-1.4812032836094,-1.85764161078059,MORT,summer,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-2.66959785583991,-3.14950688979412,-3.73283608810607,MORT,summer,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-4.09793299606243,-4.26240958342178,-7.79352639637535,MORT,summer,-0.717633356012128,0.1538569657,1.25999089864991,19.710325
-1.1076832365589,-0.706185803564046,0.550194203463919,ROSS,spring,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-1.87707690195906,-1.63810201252082,0.668077266923147,ROSS,spring,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-1.30301167420356,-1.01961889700346,1.2866757496995,ROSS,spring,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-1.45777978432052,-0.977053820832923,-0.298953623767686,ROSS,summer,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-0.806609898986208,-0.829810913973271,0.832619999543136,ROSS,summer,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-1.67922036235156,-1.15483145412845,-0.47077832164693,ROSS,summer,-0.0519567940942918,0.3185566206,0.513074789703605,17.8970125
-1.96276937465986,-3.01352083448791,1.73798401510882,VILO,spring,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
-2.15002982965229,-2.26213200008093,1.630117673577,VILO,spring,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
-1.77557561140342,-2.29595870499226,1.52371747614525,VILO,spring,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
-0.732361432669449,-1.75418200073421,1.26258964642503,VILO,summer,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
-2.35043458191283,-2.89045753388035,0.671982682788684,VILO,summer,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
-1.41928914560414,-2.8065198080798,0.877226095448124,VILO,summer,-1.1640843664615,0.0433974249,0.802260963012158,18.5990791666667
