Site,sample,year,season,Crangonyx.pseudogracilis,Gammarus.pulex...fossarum,Corbicula.fluminea,Musculium.lacustre,Pisidium.sp.,Sphaerium.sp.,Anodonta.anatina,Agabus.bipustulatus,Agabus.undulatus,Agabus.sturmii,Hydaticus.seminiger,Hydroporus.palustris,Hygrotus.impressopunctatus,Hyphydrus.ovatus,Ilybius.fuliginosus,Stictotarsus.duodecimpustulatus,Haliplus.flavicollis,Haliplus.fluviatilis,Haliplus.laminatus,Haliplus.lineatocollis,Haliplus.obliquus,Haliplus.ruficollis,Haliplus.gr..ruficollis..flu.ruf.heyd...femelles.,Peltodytes.caesus,Haliplidae.ind.,Helophorus.minutus,Hydraena.melas,Hydraena.palustris,Hydraena..gr..riparia...assimilis,Hydrochara.caraboides,Chrysomelidae.ind.,Agabus.sp.,Dytiscus.sp,Graptodytes.sp.,Hydroporus.sp.,Hyphydrus.sp,Ilybius.sp.,Laccophilus.sp.,Stictotarsus.sp,Dytiscidae.ind.,Elmis.sp.,Esolus.sp.,Oulimnius.sp.,Peltodytes.sp.,Haliplus.sp.,Helochares.sp.,Laccobius.sp.,Dasyheleinae,Ceratopogonidae.ind.,Chaoborus.sp.,Chironomidae.ind.,Anophelinae.ind.,Culicidae.ind.,Dolichopodidae.ind.,Hemerodromia.sp,Ephydridae.ind.,Muscidae.ind.,Pilaria.sp.,Stratiomyidae.ind.,Tabanidae.ind.,Tipulidae.ind.,Cloeon.dipterum,Caenis.horaria,Caenis.luctuosa,Caenis.macrura,Caenis.sp,Caenis.robusta,Potamanthus.luteus,Siphlonorus.aestivalis,Acroloxus.lacustris,Bithynia.tentaculata,Potamopyrgus.antipodarum,Lymnaea.stagnalis,Radix.auricularia,Radix.balthica,Radix.sp.,Stagnicola.sp.,Physa.fontinalis,Haitia.acuta,Anisus.vortex,Anisus.vorticulus,Ferrissia.clessiniana,Gyraulus.albus,Gyraulus.parvus,Hippeutis.complanatus,Planorbis.carinatus,Planorbidae.ind.,Valvata.cristata,Valvata.piscinalis,Corixinae.ind.,Micronecta.sp.,Gerris.sp.,Ilyocoris.cimicoides,Notonecta.sp.,Plea.minutissima,Microvellia.sp.,Erpobdella.octoculata,Erpobdella.sp,Erpobdellidae.ind.,Alboglossiphonia.sp,Glossiphonia.sp.,Helobdella.stagnalis,Hemiclepsis.marginata,Theromyzon.tessulatum,Hydrachnidia.ind.,Asellus.aquaticus,Cataclysta.lemnata,Parapoynx.stratiotata,Elophila.gr..nymphaeta...rivulalis,Sialis.lutaria,Aeshna.sp.,Aeshnidae.ind.,Boyeria.irene,Coenagrion.gr..puella...pulchellum,Erythromma.viridulum,Coenagrionidae.ind.,Ischnura.elegans,Pyrrhosoma.nymphula,Lestes.viridis,Sympetrum.gr..striolatum,Platycnemis.cf.pennipes,Leuctra.sp.,Hydroptila.sp.,Athripsodes.aterrimus,Athripsodes.sp.,Leptocerus.tineiformis,Mystacides.azurea,Mystacides.longicornis,Mystacides.sp.,Anabolia.nervosa,Glyphotaelius.pellucidus,Limnephilus.flavicornis,Limnephilus.germanus,Limnephilus.gr..germanus...lunatus,Limnephilus.lunatus,Limnephilus.nigriceps,Agrypnia.varia,Turbellaria.ind.,Dugesia...Planaria.sp.,Girardia.tigrina,Polycelis.nigra...tenuis,Polycelis.sp.
MOIR,3,14,spring,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,5,0,1,0,2,0,0,17,0,0,0,1,0,320,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,6,0,0,16,189,0,0,124,0,0,0,0,13,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0
MOIR,2,14,summer,2,2,0,0,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,9,0,107,3,0,0,0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,0,196,0,25,0,0,84,0,0,0,0,4,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,38,0,0,0,0,0,0,0,0,0,24,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,2
MOIR,3,14,summer,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,147,3,1,0,0,1,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,3,0,131,0,6,0,0,123,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,8,95,0,0,0,1,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,0
MOIR,4,14,summer,13,49,0,0,18,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,232,15,12,0,0,1,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,3,0,45,0,3,0,0,95,0,0,0,0,0,0,51,0,0,66,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,3,94,0,0,0,0,0,0,0,0,0,74,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,5,5,0
MORT,1,14,spring,2,0,0,0,19,10,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,435,0,0,0,0,0,0,0,2,0,0,38,2,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,18,0,16,13,0,8,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,7,4,0,0,0,0,0,0,0,77,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,9,0,0,0
MORT,2,14,spring,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,283,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,5,0,0,0,26,0,5,0,0,0,0,0,0,0,0,0,20,0,14,7,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,10,5,0,1,0,0,0,0,0,112,0,13,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0
MORT,3,14,spring,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,460,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,6,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,16,0,6,4,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,12,1,0,1,1,0,0,0,0,44,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
MORT,1,14,summer,0,0,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,3,50,1,48,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,0,0,0,69,0,0,0,0,1,0,0,8,1,0,0,4,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,1,1,0,8,2,0,0,0,2,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
MORT,2,14,summer,0,0,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,34,0,0,0,0,0,1,0,1,1,0,66,0,0,0,0,0,0,0,0,45,0,6,0,0,0,0,0,2,0,0,0,2,0,1,3,0,10,0,0,0,0,2,0,0,0,0,0,0,14,0,20,1,0,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORT,3,14,summer,0,0,0,0,21,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,33,0,0,0,16,2,71,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,321,0,8,0,0,0,0,0,2,0,0,1,12,0,14,4,0,11,0,11,0,0,8,0,1,0,0,0,0,35,1,3,10,0,9,11,0,0,0,1,0,1,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSS,2,14,spring,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,92,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,11,0,12,0,10,3,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
ROSS,3,14,spring,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,165,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,32,0,14,0,26,11,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,4,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
