site_date,bCA1,bCA2,bCA3,site,date,within.temperature,between.temperature,z.within,z.between,z.connectivity,connectivity
BEAR_20140620,0.80394655874527,-0.131513807378442,0.716224804021813,BEAR,20140620,0.837291666666669,15.873375,1.17909146022287,-0.319558702117048,-0.541274429684651,0.1971068732
BEAR_20140622,0.735199552152859,-0.212952724044252,0.405623548055368,BEAR,20140622,0.773625000000003,15.873375,1.08046826864301,-0.319558702117048,-0.541274429684651,0.1971068732
BEAR_20140626,0.807302865014867,-0.0670845993751477,0.635379550627946,BEAR,20140626,0.583291666666668,15.873375,0.785631397480194,-0.319558702117048,-0.541274429684651,0.1971068732
BEAR_20140701,1.21813860312467,-0.231378369391079,0.728745281553604,BEAR,20140701,0.432291666666668,15.873375,0.55172403734577,-0.319558702117048,-0.541274429684651,0.1971068732
BEAR_20140704,0.904600836713759,0.0534640335489094,0.653116308341445,BEAR,20140704,0.539125000000002,15.873375,0.717214785520348,-0.319558702117048,-0.541274429684651,0.1971068732
GRAN_20140620,0.672739995824476,-0.303846263131297,-0.83768823698871,GRAN,20140620,0.808745833333335,15.3444208333333,1.1348723839458,-0.536815219251994,1.78056790031872,0.773218378
GRAN_20140622,0.389937093793428,-0.44337539489526,-1.00444709904705,GRAN,20140622,0.955579166666668,15.3444208333333,1.36232534672552,-0.536815219251994,1.78056790031872,0.773218378
GRAN_20140626,0.43808633191664,-0.118846955263493,-0.736310413481377,GRAN,20140626,0.868245833333335,15.3444208333333,1.22704117817096,-0.536815219251994,1.78056790031872,0.773218378
GRAN_20140701,0.274338620051503,-0.239139354911685,-0.731404665601765,GRAN,20140701,0.8364125,15.3444208333333,1.17772958238102,-0.536815219251994,1.78056790031872,0.773218378
GRAN_20140704,0.470996731781049,-0.074902225973723,-0.728719321315926,GRAN,20140704,0.781079166666666,15.3444208333333,1.09201518551057,-0.536815219251994,1.78056790031872,0.773218378
MOIR_20140620,0.0865136818243027,0.18570570722827,0.0739435922468527,MOIR,20140620,-0.7622125,12.4842125,-1.29862905069775,-1.71158411217186,0.688848346420746,0.5023334058
MOIR_20140622,0.0796655705531155,0.347549128973834,-0.145046557255995,MOIR,20140622,-0.7622125,12.4842125,-1.29862905069775,-1.71158411217186,0.688848346420746,0.5023334058
MOIR_20140626,-0.108334382037598,0.330495889233046,-0.201369131416497,MOIR,20140626,-0.7622125,12.4842125,-1.29862905069775,-1.71158411217186,0.688848346420746,0.5023334058
MOIR_20140701,0.00879447057530794,0.248161149504157,-0.175605237636451,MOIR,20140701,-0.7622125,12.4842125,-1.29862905069775,-1.71158411217186,0.688848346420746,0.5023334058
MOIR_20140704,0.123348352880327,0.203577801218843,-0.128925519038634,MOIR,20140704,-0.7622125,12.4842125,-1.29862905069775,-1.71158411217186,0.688848346420746,0.5023334058
MORT_20140620,-0.597687449332144,0.402344455563326,0.21836877976711,MORT,20140620,-0.0394916666666667,19.710325,-0.179094466332506,1.25638576708731,-0.715580037480301,0.1538569657
MORT_20140622,-0.278385019269384,0.205548184729155,0.141705870133406,MORT,20140622,0.00417500000000004,19.710325,-0.111452382055222,1.25638576708731,-0.715580037480301,0.1538569657
MORT_20140626,-0.526956999015783,0.807368272251087,0.115839563761377,MORT,20140626,-0.0156583333333344,19.710325,-0.142175313463608,1.25638576708731,-0.715580037480301,0.1538569657
MORT_20140701,-0.415576728675087,0.515740735140126,0.00896151404178536,MORT,20140701,-0.0433249999999994,19.710325,-0.185032511898831,1.25638576708731,-0.715580037480301,0.1538569657
MORT_20140704,-0.206758608996738,0.377044965396952,0.167213904761491,MORT,20140704,0.0160083333333318,19.710325,-0.0931218935678685,1.25638576708731,-0.715580037480301,0.1538569657
ROSS_20140620,0.046000834458844,0.445178365370936,-0.0979415715729211,ROSS,20140620,-0.775345833333333,17.8970125,-1.31897331115977,0.511606761545374,-0.0518081334345351,0.3185566206
ROSS_20140622,-0.134334193603249,0.44609463872003,-0.0120940844813059,ROSS,20140622,-0.735845833333332,17.8970125,-1.25778562423719,0.511606761545374,-0.0518081334345351,0.3185566206
ROSS_20140626,0.0200746409228673,0.536908677620316,-0.231521375688049,ROSS,20140626,-0.684345833333332,17.8970125,-1.17800927293306,0.511606761545374,-0.0518081334345351,0.3185566206
ROSS_20140701,0.00106692108471138,0.694084950654275,-0.0205663432518551,ROSS,20140701,-0.699845833333331,17.8970125,-1.20201963109255,0.511606761545374,-0.0518081334345351,0.3185566206
ROSS_20140704,-0.0616502962449123,0.413307297184725,-0.196858344282404,ROSS,20140704,-0.648512499999999,17.8970125,-1.12250145568262,0.511606761545374,-0.0518081334345351,0.3185566206
VILO_20140620,-0.41547612149127,-0.502286763252949,0.0498648264692283,VILO,20140620,0.568254166666666,18.5990791666667,0.762337477427069,0.79996550490822,-1.16075364613998,0.0433974249
VILO_20140622,-0.459055851337938,-0.589609768612337,0.116641432322954,VILO,20140622,0.500587500000002,18.5990791666667,0.657518064386702,0.79996550490822,-1.16075364613998,0.0433974249
VILO_20140626,-0.529453486242288,-0.683167830216686,0.166487704789352,VILO,20140626,0.433254166666668,18.5990791666667,0.553215003134706,0.79996550490822,-1.16075364613998,0.0433974249
VILO_20140701,-0.513946356639507,-0.567358612101465,0.152360870192529,VILO,20140701,0.381754166666667,18.5990791666667,0.47343865183058,0.79996550490822,-1.16075364613998,0.0433974249
VILO_20140704,-0.511511247258176,-0.650071296059662,0.189759734449431,VILO,20140704,0.417420833333335,18.5990791666667,0.528688293186836,0.79996550490822,-1.16075364613998,0.0433974249
